% 1. Title: TestWeka2
   % 
   % 2. Sources:
   %      (a) Creator: ZahraFardhosseini,Marc Niedermeier
   %      (c) Date: Jan, 2016
   % 
   @RELATION TestKnock-Pulse

   @ATTRIBUTE peakDuration NUMERIC
   @ATTRIBUTE peakMaximum NUMERIC   
   @ATTRIBUTE peakIntegral NUMERIC
   @ATTRIBUTE Label   {0,1,2}
   @Data
0.04643990929705133,-143807.44680008903,-812431.4073521737,1
0.04643990929704955,-155996.04491678913,-831881.8949570145,1
0.04643990929704955,-148942.45220773615,-593110.6017418294,1
0.04643990929704955,-161143.60269992315,-810942.0604252397,1
0.04643990929704955,-156461.72414777888,-823481.0789463987,1
0.04643990929704955,-136099.01211639403,-802875.6412864013,0
0.04643990929705222,-134560.242376015,-803422.0123233042,0
0.0928798185940991,-137584.7058638118,-565934.1606281071,0
0.04643990929704955,-141745.9159488257,-800265.4970765153,0
0.04643990929704955,-143136.76731548927,-804450.7686003167,0
0.046439909297077975,-136491.89829913995,-799025.2673311193,2
0.09287981859415595,-163144.91071750261,-1018214.468932298,2
0.09287981859410621,-156107.26075681287,-559533.7928742021,2
0.046439909297053106,-161081.5759899137,-846051.3379216181,2
0.1857596371881982,-145862.7094557956,-1389214.9810160438,2
